unit_id,name,namebase,height,radius,weight,stratum,sizeLabel,x,z
0,Júlia,Júlia,0.6163494,0.7675366,0.3630991,0,S,-33.46555,-33.93614
1,Adalberto,Adalberto,0.8938985,0.4413818,0.1741474,2,XS,-32.63427,-33.50367
2,Elton,Elton,1.198772,0.7749614,0.7199405,4,L,-31.07267,-34.05234
3,Eloah,Eloah,1.029979,1.014317,1.059683,3,XL,-29.63739,-34.00035
4,Lucas,Lucas,1.176084,0.9605637,1.085153,4,XL,-28.34386,-34.02445
5,Nathaly,Nathaly,0.7145905,1.026633,0.7531606,0,L,-27.90806,-33.96589
6,Eduardo,Eduardo,0.7739003,0.9292371,0.6682487,1,L,-26.49632,-34.13091
7,Marta,Marta,1.224738,1.017253,1.267364,4,XL,-24.88174,-33.57419
8,Breno,Breno,0.7687531,0.4989531,0.1913843,1,XS,-23.84967,-33.84792
9,Otaviano,Otaviano,0.6866821,0.4024866,0.1112394,0,XS,-22.2432,-33.88761
10,Adelaide,Adelaide,1.264869,0.4481173,0.2539972,4,XS,-20.89116,-33.43375
11,Marcel,Marcel,1.229358,0.4995041,0.3067302,4,S,-20.08194,-33.62407
12,Roger,Roger,0.9138831,0.7584266,0.5256755,2,M,-19.06429,-33.97245
13,Mário,Mário,1.012635,0.8199311,0.6807815,2,L,-17.8908,-34.12474
14,Michele,Michele,0.9124147,0.7402456,0.4999701,2,M,-16.68457,-33.59298
15,Gustavo,Gustavo,1.182104,0.5575792,0.3675096,4,S,-14.64615,-33.27969
16,Jaime,Jaime,1.251211,0.3810957,0.1817183,4,XS,-13.29341,-33.80096
17,Rafael,Rafael,0.9364675,0.7115826,0.4741801,2,M,-12.87418,-33.45825
18,Eloi,Eloi,0.6346782,0.7715029,0.377771,0,S,-11.47427,-34.18091
19,Vinicius,Vinicius,0.6274797,0.5784927,0.2099885,0,XS,-10.11498,-34.16755
20,Jozé,Jozé,0.8413414,0.831974,0.5823603,1,M,-8.579316,-33.88311
21,Adriano,Adriano,1.089556,0.6253073,0.4260266,3,M,-7.91367,-33.61994
22,Carlito,Carlito,0.6392124,0.5780526,0.2135895,0,XS,-5.794229,-33.62651
23,Marcelo,Marcelo,1.276063,0.4518361,0.2605157,4,S,-4.969187,-33.54683
24,Martha,Martha,0.7685325,1.019742,0.7991766,1,L,-3.364048,-33.35244
25,Bernardo,Bernardo,0.746573,1.077689,0.8670806,1,XL,-2.854733,-33.26213
26,Gabriela,Gabriela,0.8798406,0.6636523,0.387512,1,S,-1.521989,-34.20427
27,Marianne,Marianne,0.8346966,0.4088732,0.1395423,1,XS,-0.4140017,-34.07938
